L,-1.1595924,0.049711052,-0.96515167,0.52351695,0.21210892,0.027845014,0.6310621,-0.9199259,-0.77236307,-4.258355,1.1279386,1.7855501,-0.94363636,2.7862425,-0.0384974,-0.51408976,0.8663643,1.5226806,1.1730274,1.9843942,-1.7509487,0.70345193,1.8945056,1.7669632,1.0503246,0.06403794,0.15266202,1.8995265,2.1176207,0.33508742,-0.028468985,0.43797496
M,-1.1095624,1.4320213,0.31822917,0.6994292,0.372351,1.4002745,-1.0440612,-3.2005045,1.2436976,1.3252147,0.41248152,-0.75329953,-0.39336973,-0.42563617,-0.1653684,0.77639204,1.2054347,0.2400506,-1.0898061,2.1997757,1.5025805,1.0977393,-1.441064,-0.154576,-0.8977366,0.030679747,-0.8239312,-1.4474779,1.0592992,-0.88984126,0.574147,-1.0636548
N,1.8238914,0.17617358,0.7631268,0.617634,1.4860766,0.06956329,-1.1082643,1.2210175,0.45405927,0.5077406,-1.7396808,1.7698221,-0.18798389,-0.22653532,-0.36793166,0.83237106,0.2613877,0.84660566,-0.05070091,0.3282812,-1.4148098,-0.51158476,1.2092104,-0.48229873,0.5828296,0.38595283,1.0012765,0.3819505,0.394015,0.29033607,1.5234189,1.6755618
P,0.5133082,0.67382324,0.4420598,0.010559996,1.9720194,-0.07107087,-1.0596126,0.013936109,0.6037672,0.54612404,0.33634478,2.1609206,1.7519,-0.5151385,-0.39661452,-1.1888711,0.917476,2.1809142,-0.80945534,0.43083802,0.58915216,-0.45737994,0.48603,-1.0827117,-2.583886,0.62734944,-0.7540328,-0.40294558,-0.54586345,1.4205704,0.69499564,-0.37552252
Q,3.5185695,2.0548465,0.7774631,-0.9903726,-0.19120277,-0.86938053,0.42522717,-0.7047252,-0.19900194,-0.101608485,-0.4679685,0.07762264,2.0517542,-1.5868922,0.1860337,1.1660479,0.18965086,1.3872706,-0.6410489,-0.638249,0.11709604,0.022544945,0.068457514,-1.1053365,-0.45618168,1.7889315,0.68653685,0.9213986,0.64428276,1.5386289,-0.44918668,0.3239146
R,-0.49395958,0.80700034,-0.93796176,-0.11420334,-1.2387688,0.04154574,0.7683744,-0.18709923,0.04414645,-1.2085011,0.5321486,0.9785952,-0.56919026,0.44648713,0.58871305,-0.21972305,0.50151473,0.11767761,-0.08379186,-0.7631387,1.047261,1.2862302,-2.0764089,-1.0992839,-0.6186533,0.92750627,0.06874967,-0.34061372,1.1707276,-0.45778093,0.7970881,-0.50672156
S,-0.20136929,1.0461552,-0.44102776,0.74662447,0.216122,0.7484915,-0.504384,0.62785155,0.14028448,-0.7943624,-0.28314888,0.4826257,-0.09558839,0.89402556,1.560873,-0.92575437,1.0612833,0.3933328,0.19672035,0.40430462,0.73254085,0.33539453,-0.22801776,0.910574,0.23118614,-0.49946582,-0.59896386,-0.75125605,-2.0445504,-0.7175637,1.2543501,0.49621078
T,-0.72992826,-0.07526949,-0.21489084,0.14573155,-0.0918984,0.8821837,1.4909618,0.6179079,0.098797254,0.068632685,-0.14437866,-2.07348,1.3818308,-1.0983202,-1.1306143,0.058743197,0.1300149,-0.52082807,-2.2674756,0.212133,-0.13820337,1.1664735,-0.6719917,-1.2306035,-1.0417205,0.2831465,-0.102913454,-0.20619054,0.87811834,-1.8378159,0.79685825,0.67485356
V,-0.030470138,-0.884913,-0.62093145,0.16665375,-0.5316855,1.1866765,0.0035759255,0.11553415,1.0906211,1.1563432,-0.91118956,-0.16086096,-0.23222879,0.21233276,0.55268836,0.58814555,-0.39644277,1.2615644,0.22925037,-1.0180709,0.737924,0.29109806,0.012539898,-1.5524496,-0.25794244,-0.39804795,1.0745347,-0.77668315,0.45463684,1.1411464,-0.5258896,1.1907978
W,-0.21361628,0.7995285,-2.0928373,-0.92680866,0.8721408,1.5497824,0.5856639,0.07301411,-0.53714746,-0.45107502,0.5156808,-0.2599744,0.6590444,0.19184011,-0.7297027,-1.2480804,-1.5511073,0.6385318,0.19776955,-0.28916824,-1.3136222,-1.533156,-1.0489231,1.0122715,0.40142798,-0.5287613,-0.46822023,-1.6248842,-1.0228366,0.6115768,0.3072575,-0.38747072
Y,-0.36604282,0.44210824,0.6158098,0.027400753,-0.67025244,0.062179223,0.21823978,-0.23414163,0.53593105,0.2847675,-0.19486964,2.0144982,0.6926577,-1.3249345,-0.5123442,2.5768144,-0.41590366,-1.3845848,-0.46912447,1.0812311,-0.34896892,0.306527,0.48372254,-0.8496911,0.61405873,0.822479,-1.1037872,0.25119388,0.9809532,-0.9165157,-0.4948448,0.29240862
